state,incident_type,ih_program_declared,ia_program_declared,hm_program_declared,pa_program_declared,incident_month,incident_year,#disasters,state_name
OR,Tsunami,No,No,Yes,Yes,March,2011,3,Oregon
CA,Fire,Yes,No,Yes,Yes,November,2018,3,California
DE,Snowstorm,No,No,Yes,Yes,February,2010,3,Delaware
AL,Severe Storm,Yes,No,Yes,Yes,April,2010,3,Alabama
VI,Hurricane,No,No,No,Yes,July,2020,3,Virgin Islands of the U.S.
CA,Fire,No,No,No,Yes,July,2010,3,California
MT,Severe Storm,No,No,Yes,Yes,June,2010,3,Montana
WI,Flood,No,No,Yes,Yes,January,2020,3,Wisconsin
AL,Severe Storm,Yes,No,Yes,No,January,2012,3,Alabama
WY,Fire,No,No,Yes,Yes,September,2020,3,Wyoming
CA,Tsunami,No,No,Yes,Yes,March,2011,3,California
MO,Flood,Yes,No,Yes,Yes,July,2022,3,Missouri
MD,Severe Storm,No,No,Yes,Yes,February,2014,3,Maryland
VA,Hurricane,No,No,Yes,Yes,October,2016,3,Virginia
TX,Fire,No,No,No,Yes,March,2011,3,Texas
AZ,Fire,No,No,No,Yes,June,2011,3,Arizona
WV,Flood,Yes,No,Yes,Yes,February,2021,3,West Virginia
MO,Severe Storm,Yes,No,Yes,No,April,2011,3,Missouri
CA,Dam/Levee Break,No,No,No,Yes,February,2017,3,California
NY,Tornado,No,No,Yes,Yes,September,2010,3,New York
AR,Flood,No,No,Yes,Yes,May,2019,3,Arkansas
CO,Fire,No,No,Yes,Yes,June,2018,3,Colorado
WV,Severe Storm,Yes,No,Yes,Yes,March,2012,3,West Virginia
CA,Fire,No,No,No,Yes,November,2018,3,California
OR,Fire,No,No,Yes,Yes,August,2017,3,Oregon
NM,Fire,No,No,No,Yes,June,2012,3,New Mexico
MS,Severe Storm,Yes,No,Yes,No,February,2013,3,Mississippi
NY,Snowstorm,No,No,Yes,Yes,December,2022,3,New York
CA,Fire,No,No,No,Yes,August,2012,3,California
NH,Severe Storm,No,No,Yes,Yes,June,2013,3,New Hampshire
DE,Hurricane,No,No,No,Yes,August,2011,3,Delaware
CO,Fire,No,No,Yes,Yes,October,2016,3,Colorado
SD,Severe Storm,No,No,Yes,Yes,April,2010,3,South Dakota
DE,Hurricane,No,No,Yes,Yes,October,2012,3,Delaware
VT,Severe Storm,No,No,Yes,Yes,December,2010,3,Vermont
SC,Severe Storm,Yes,No,Yes,No,April,2020,3,South Carolina
MP,Typhoon,Yes,No,Yes,Yes,September,2018,3,Northern Mariana Islands
PA,Flood,Yes,No,Yes,No,September,2011,3,Pennsylvania
AL,Severe Storm,Yes,No,Yes,Yes,March,2018,3,Alabama
AK,Severe Storm,No,No,Yes,Yes,December,2021,3,Alaska
WA,Fire,No,No,Yes,Yes,August,2020,3,Washington
MD,Hurricane,No,No,Yes,Yes,August,2020,3,Maryland
UT,Flood,No,No,Yes,Yes,December,2010,3,Utah
ID,Fire,No,No,Yes,Yes,August,2022,3,Idaho
MS,Tornado,Yes,No,Yes,Yes,January,2017,3,Mississippi
DE,Biological,No,No,No,Yes,January,2020,3,Delaware
FL,Fire,No,No,Yes,Yes,April,2017,3,Florida
NE,Fire,No,No,No,Yes,August,2012,3,Nebraska
ID,Fire,No,No,No,Yes,August,2013,3,Idaho
FL,Fire,No,No,Yes,Yes,March,2022,3,Florida
MA,Biological,No,No,Yes,No,January,2020,3,Massachusetts
DE,Hurricane,No,No,No,Yes,October,2012,3,Delaware
AL,Severe Storm,No,No,Yes,Yes,January,2023,3,Alabama
KY,Severe Storm,No,No,Yes,Yes,February,2012,2,Kentucky
HI,Severe Storm,No,No,Yes,Yes,March,2012,2,Hawaii
CT,Severe Storm,Yes,No,Yes,No,March,2010,2,Connecticut
WA,Fire,No,No,Yes,Yes,October,2022,2,Washington
OR,Flood,Yes,No,Yes,Yes,February,2020,2,Oregon
MP,Typhoon,No,No,Yes,Yes,August,2015,2,Northern Mariana Islands
AK,Fire,No,No,Yes,Yes,June,2022,2,Alaska
NY,Snowstorm,Yes,No,Yes,Yes,December,2022,2,New York
OR,Fire,No,No,Yes,Yes,September,2022,2,Oregon
NV,Fire,No,No,Yes,Yes,July,2020,2,Nevada
VT,Severe Storm,Yes,No,Yes,Yes,May,2011,2,Vermont
AZ,Fire,No,No,No,Yes,June,2013,2,Arizona
UT,Fire,No,No,Yes,Yes,June,2020,2,Utah
MA,Hurricane,Yes,No,Yes,Yes,August,2011,2,Massachusetts
LA,Tornado,Yes,No,Yes,No,February,2017,2,Louisiana
CA,Fire,Yes,No,Yes,No,December,2017,2,California
RI,Hurricane,Yes,No,Yes,Yes,October,2012,2,Rhode Island
CA,Fire,No,No,Yes,Yes,July,2017,2,California
NM,Flood,No,No,No,Yes,June,2012,2,New Mexico
NH,Severe Storm,No,No,Yes,Yes,March,2017,2,New Hampshire
NV,Fire,No,No,Yes,Yes,August,2020,2,Nevada
AZ,Fire,No,No,Yes,Yes,August,2020,2,Arizona
WI,Severe Storm,Yes,No,Yes,Yes,July,2010,2,Wisconsin
WA,Fire,No,No,No,Yes,August,2013,2,Washington
CO,Fire,No,No,No,Yes,September,2010,2,Colorado
AL,Severe Storm,Yes,No,Yes,No,October,2021,2,Alabama
OK,Fire,No,No,Yes,Yes,February,2017,2,Oklahoma
OH,Hurricane,No,No,Yes,Yes,October,2012,2,Ohio
CA,Fire,Yes,No,Yes,Yes,December,2017,2,California
LA,Flood,No,No,Yes,Yes,May,2021,2,Louisiana
AK,Fire,No,No,Yes,Yes,August,2019,2,Alaska
NH,Severe Storm,No,No,Yes,Yes,October,2011,2,New Hampshire
AZ,Fire,No,No,No,Yes,June,2010,2,Arizona
MT,Fire,No,No,Yes,Yes,July,2017,2,Montana
UT,Flood,No,No,Yes,Yes,February,2017,2,Utah
AZ,Fire,No,No,Yes,Yes,June,2017,2,Arizona
KY,Severe Storm,No,No,Yes,Yes,July,2010,2,Kentucky
WA,Fire,No,No,No,Yes,August,2014,2,Washington
NC,Severe Storm,Yes,No,Yes,No,April,2011,2,North Carolina
VT,Severe Storm,No,No,Yes,Yes,June,2015,2,Vermont
NV,Fire,No,No,Yes,Yes,October,2016,2,Nevada
NV,Fire,No,No,Yes,Yes,August,2019,2,Nevada
AZ,Flood,No,No,Yes,Yes,September,2014,2,Arizona
NY,Severe Storm,No,No,Yes,Yes,October,2019,2,New York
KS,Fire,No,No,Yes,Yes,March,2022,2,Kansas
KS,Fire,No,No,Yes,Yes,March,2016,2,Kansas
NM,Fire,No,No,No,Yes,June,2016,2,New Mexico
UT,Fire,No,No,Yes,Yes,June,2021,2,Utah
OR,Fire,No,No,Yes,Yes,September,2017,2,Oregon
CO,Fire,Yes,No,Yes,Yes,June,2013,2,Colorado
SC,Hurricane,No,No,Yes,Yes,October,2016,2,South Carolina
AZ,Fire,No,No,Yes,Yes,May,2020,2,Arizona
WV,Flood,No,No,Yes,Yes,June,2013,2,West Virginia
DE,Hurricane,No,No,Yes,Yes,August,2020,2,Delaware
NC,Fire,No,No,No,Yes,July,2011,2,North Carolina
CO,Fire,Yes,No,Yes,Yes,June,2012,2,Colorado
CO,Fire,No,No,No,Yes,October,2012,2,Colorado
TN,Severe Storm,Yes,No,Yes,Yes,April,2020,2,Tennessee
SC,Fire,No,No,Yes,Yes,November,2016,2,South Carolina
CA,Earthquake,Yes,No,Yes,Yes,August,2014,2,California
WY,Flood,No,No,Yes,Yes,May,2015,2,Wyoming
IA,Severe Storm,Yes,No,Yes,No,June,2010,2,Iowa
NH,Flood,No,No,Yes,Yes,July,2021,2,New Hampshire
KY,Severe Storm,Yes,No,Yes,No,July,2010,2,Kentucky
OR,Fire,No,No,No,Yes,August,2013,2,Oregon
CA,Fire,No,No,Yes,Yes,July,2021,2,California
KS,Fire,No,No,No,Yes,April,2011,2,Kansas
VA,Fire,No,No,No,Yes,February,2011,2,Virginia
VA,Severe Storm,No,No,Yes,Yes,July,2022,2,Virginia
CA,Fire,No,No,Yes,Yes,June,2018,2,California
RI,Hurricane,No,No,Yes,Yes,October,2012,2,Rhode Island
NY,Severe Storm,No,No,Yes,Yes,September,2011,2,New York
NH,Severe Storm,No,No,Yes,Yes,March,2010,2,New Hampshire
CT,Hurricane,No,No,Yes,Yes,September,2021,2,Connecticut
VT,Hurricane,No,No,Yes,Yes,August,2011,2,Vermont
CA,Fire,No,No,No,Yes,September,2012,2,California
NM,Fire,No,No,No,Yes,May,2012,2,New Mexico
UT,Fire,No,No,Yes,Yes,August,2021,2,Utah
GA,Fire,No,No,No,Yes,March,2011,2,Georgia
ID,Fire,No,No,Yes,Yes,August,2021,2,Idaho
MD,Flood,No,No,Yes,Yes,May,2018,2,Maryland
WA,Fire,No,No,No,Yes,July,2013,2,Washington
CO,Fire,No,No,Yes,Yes,October,2020,2,Colorado
AK,Fire,No,No,Yes,Yes,June,2015,2,Alaska
CT,Tornado,No,No,Yes,Yes,May,2018,2,Connecticut
IA,Severe Storm,No,No,Yes,Yes,May,2010,2,Iowa
AL,Severe Storm,Yes,No,Yes,No,January,2023,2,Alabama
HI,Severe Storm,No,No,Yes,Yes,August,2014,2,Hawaii
PR,Hurricane,Yes,No,No,No,September,2017,2,Puerto Rico
NH,Severe Storm,No,No,Yes,Yes,July,2017,2,New Hampshire
OK,Fire,Yes,No,Yes,No,August,2012,2,Oklahoma
WA,Fire,No,No,Yes,Yes,September,2022,2,Washington
CO,Fire,No,No,No,Yes,June,2011,2,Colorado
MS,Severe Storm,Yes,No,Yes,No,April,2010,2,Mississippi
NJ,Severe Storm,Yes,No,Yes,No,March,2010,2,New Jersey
CT,Severe Storm,No,No,Yes,Yes,September,2018,2,Connecticut
UT,Fire,No,No,Yes,Yes,September,2017,2,Utah
CA,Fire,No,No,Yes,Yes,November,2019,2,California
MT,Fire,No,No,Yes,Yes,August,2020,2,Montana
OK,Fire,No,No,Yes,Yes,November,2019,2,Oklahoma
DE,Hurricane,No,No,Yes,Yes,August,2011,2,Delaware
MI,Dam/Levee Break,No,No,No,Yes,May,2020,2,Michigan
NH,Hurricane,Yes,No,Yes,Yes,August,2011,2,New Hampshire
MO,Severe Storm,No,No,Yes,No,June,2021,2,Missouri
TN,Tornado,No,No,Yes,Yes,December,2021,2,Tennessee
FL,Hurricane,No,No,No,Yes,October,2017,2,Florida
OR,Flood,No,No,Yes,Yes,February,2020,2,Oregon
MD,Severe Storm,No,No,Yes,Yes,May,2018,2,Maryland
HI,Flood,Yes,No,Yes,Yes,April,2018,2,Hawaii
WA,Fire,No,No,Yes,Yes,July,2020,2,Washington
AZ,Fire,No,No,Yes,Yes,June,2021,2,Arizona
NC,Severe Storm,Yes,No,Yes,No,April,2018,2,North Carolina
WY,Flood,Yes,No,Yes,Yes,May,2015,2,Wyoming
MT,Severe Storm,Yes,No,Yes,No,April,2011,2,Montana
ME,Severe Storm,No,No,Yes,Yes,March,2010,2,Maine
TX,Fire,No,No,Yes,Yes,July,2018,2,Texas
CA,Earthquake,No,No,No,Yes,July,2019,2,California
AZ,Fire,No,No,Yes,Yes,April,2022,2,Arizona
WY,Fire,No,No,No,Yes,July,2012,2,Wyoming
OR,Fire,No,No,Yes,Yes,July,2021,2,Oregon
AR,Severe Storm,Yes,No,Yes,No,April,2017,2,Arkansas
GA,Severe Storm,Yes,No,Yes,No,April,2011,2,Georgia
CA,Fire,No,No,No,Yes,May,2014,2,California
NY,Winter Storm,No,No,No,Yes,December,2022,2,New York
MO,Flood,Yes,No,Yes,No,April,2017,2,Missouri
MS,Hurricane,No,No,Yes,Yes,October,2020,2,Mississippi
OK,Fire,No,No,Yes,Yes,November,2015,2,Oklahoma
CA,Fire,Yes,No,Yes,Yes,September,2015,2,California
OR,Fire,No,No,Yes,Yes,August,2018,2,Oregon
TX,Flood,Yes,No,Yes,No,May,2016,2,Texas
UT,Fire,No,No,Yes,Yes,July,2018,2,Utah
TX,Fire,No,No,Yes,Yes,December,2021,2,Texas
CA,Fire,No,No,No,Yes,September,2010,2,California
AR,Severe Storm,Yes,No,Yes,Yes,May,2011,2,Arkansas
OR,Fire,No,No,Yes,Yes,August,2020,2,Oregon
VT,Flood,No,No,Yes,Yes,July,2021,2,Vermont
MN,Severe Storm,No,No,Yes,Yes,May,2011,2,Minnesota
CA,Fire,Yes,No,Yes,Yes,July,2018,2,California
NH,Flood,No,No,Yes,Yes,May,2011,2,New Hampshire
ID,Fire,No,No,Yes,Yes,July,2015,2,Idaho
WY,Fire,No,No,No,Yes,July,2016,2,Wyoming
OR,Severe Storm,No,No,Yes,Yes,December,2016,2,Oregon
KS,Severe Storm,No,No,Yes,Yes,July,2017,2,Kansas
NV,Fire,No,No,No,Yes,July,2016,2,Nevada
HI,Severe Storm,No,No,Yes,Yes,December,2021,2,Hawaii
AZ,Severe Storm,No,No,Yes,Yes,July,2010,2,Arizona
AZ,Fire,No,No,No,Yes,June,2016,1,Arizona
DC,Hurricane,No,No,No,Yes,August,2011,1,District of Columbia
CO,Fire,No,No,No,Yes,March,2011,1,Colorado
UT,Flood,No,No,Yes,Yes,September,2012,1,Utah
SD,Flood,Yes,No,Yes,No,March,2019,1,South Dakota
MO,Flood,No,No,Yes,Yes,July,2022,1,Missouri
ID,Fire,No,No,No,Yes,September,2012,1,Idaho
OR,Fire,No,No,No,Yes,August,2014,1,Oregon
WA,Fire,No,No,Yes,Yes,June,2017,1,Washington
OK,Fire,No,No,Yes,Yes,March,2018,1,Oklahoma
AR,Severe Storm,No,No,Yes,Yes,May,2011,1,Arkansas
GA,Severe Storm,Yes,No,Yes,No,January,2023,1,Georgia
OK,Fire,No,No,No,Yes,September,2011,1,Oklahoma
GA,Severe Storm,No,No,Yes,Yes,April,2011,1,Georgia
RI,Biological,No,No,Yes,Yes,January,2020,1,Rhode Island
OR,Fire,No,No,No,Yes,June,2016,1,Oregon
SD,Fire,No,No,Yes,Yes,March,2021,1,South Dakota
NM,Severe Storm,No,No,No,Yes,February,2011,1,New Mexico
MI,Toxic Substances,No,No,No,Yes,April,2014,1,Michigan
MD,Flood,No,No,Yes,Yes,July,2016,1,Maryland
NV,Fire,No,No,No,Yes,July,2013,1,Nevada
LA,Flood,Yes,No,Yes,No,May,2021,1,Louisiana
MP,Typhoon,Yes,No,Yes,Yes,August,2015,1,Northern Mariana Islands
UT,Fire,No,No,Yes,Yes,September,2020,1,Utah
KS,Fire,No,No,Yes,Yes,April,2016,1,Kansas
SD,Fire,No,No,No,Yes,July,2012,1,South Dakota
NM,Fire,No,No,Yes,Yes,May,2018,1,New Mexico
VA,Flood,No,No,Yes,Yes,August,2021,1,Virginia
OK,Severe Storm,Yes,No,Yes,No,May,2011,1,Oklahoma
HI,Mud/Landslide,No,No,Yes,Yes,September,2016,1,Hawaii
NH,Severe Storm,No,No,Yes,Yes,May,2012,1,New Hampshire
CT,Hurricane,Yes,No,Yes,Yes,September,2021,1,Connecticut
DC,Severe Storm,No,No,Yes,Yes,June,2012,1,District of Columbia
CA,Fire,No,No,Yes,Yes,June,2021,1,California
NV,Fire,No,No,Yes,Yes,June,2021,1,Nevada
MT,Fire,No,No,Yes,Yes,June,2021,1,Montana
TX,Other,No,No,Yes,Yes,April,2013,1,Texas
AL,Severe Storm,No,No,Yes,Yes,March,2018,1,Alabama
VI,Hurricane,No,No,Yes,Yes,September,2017,1,Virgin Islands of the U.S.
NM,Fire,No,No,No,Yes,July,2016,1,New Mexico
MA,Hurricane,No,No,No,Yes,August,2021,1,Massachusetts
MS,Flood,Yes,No,Yes,No,March,2016,1,Mississippi
DC,Biological,Yes,No,Yes,Yes,January,2020,1,District of Columbia
OK,Fire,No,No,No,Yes,May,2014,1,Oklahoma
GA,Severe Storm,No,No,Yes,Yes,January,2023,1,Georgia
TX,Fire,No,No,Yes,Yes,May,2022,1,Texas
AZ,Severe Storm,No,No,Yes,Yes,October,2010,1,Arizona
CO,Fire,No,No,Yes,Yes,June,2012,1,Colorado
TN,Severe Storm,Yes,No,Yes,No,April,2011,1,Tennessee
CA,Fire,No,No,Yes,Yes,May,2022,1,California
AR,Severe Storm,Yes,No,Yes,No,May,2015,1,Arkansas
CA,Fire,No,No,Yes,Yes,July,2013,1,California
MT,Fire,No,No,No,Yes,August,2011,1,Montana
OK,Fire,No,No,Yes,Yes,March,2020,1,Oklahoma
WY,Fire,No,No,Yes,Yes,June,2018,1,Wyoming
AZ,Fire,No,No,No,Yes,July,2013,1,Arizona
OR,Fire,No,No,Yes,Yes,July,2015,1,Oregon
MD,Hurricane,Yes,No,Yes,Yes,October,2012,1,Maryland
HI,Volcanic Eruption,Yes,No,Yes,Yes,May,2018,1,Hawaii
OK,Severe Storm,No,No,Yes,Yes,May,2022,1,Oklahoma
TN,Fire,Yes,No,Yes,Yes,November,2016,1,Tennessee
TX,Flood,Yes,No,Yes,No,April,2016,1,Texas
HI,Fire,No,No,Yes,Yes,August,2021,1,Hawaii
GU,Biological,Yes,No,Yes,Yes,January,2020,1,Guam
UT,Fire,No,No,Yes,Yes,July,2020,1,Utah
HI,Flood,No,No,Yes,Yes,March,2021,1,Hawaii
AZ,Fire,No,No,Yes,Yes,August,2015,1,Arizona
HI,Fire,No,No,Yes,Yes,October,2019,1,Hawaii
OK,Fire,No,No,No,Yes,April,2016,1,Oklahoma
MN,Flood,No,No,Yes,Yes,October,2018,1,Minnesota
MT,Tornado,No,No,Yes,Yes,June,2016,1,Montana
OK,Fire,No,No,Yes,Yes,December,2021,1,Oklahoma
OR,Fire,No,No,Yes,Yes,August,2022,1,Oregon
ID,Fire,No,No,No,Yes,August,2012,1,Idaho
OK,Fire,No,No,No,Yes,June,2011,1,Oklahoma
WY,Fire,No,No,No,Yes,September,2012,1,Wyoming
CA,Fire,No,No,Yes,Yes,September,2021,1,California
AK,Coastal Storm,No,No,Yes,Yes,December,2017,1,Alaska
VA,Hurricane,Yes,No,Yes,No,October,2016,1,Virginia
NY,Severe Storm,Yes,No,Yes,No,September,2011,1,New York
OR,Fire,No,No,Yes,Yes,September,2015,1,Oregon
SD,Fire,No,No,No,Yes,August,2012,1,South Dakota
UT,Fire,No,No,No,Yes,July,2014,1,Utah
TX,Other,Yes,No,No,Yes,April,2013,1,Texas
OK,Fire,No,No,No,Yes,July,2012,1,Oklahoma
AK,Flood,No,No,Yes,Yes,May,2013,1,Alaska
WV,Flood,No,No,Yes,Yes,July,2022,1,West Virginia
AZ,Fire,No,No,No,Yes,May,2014,1,Arizona
GA,Severe Storm,Yes,No,Yes,Yes,January,2017,1,Georgia
DC,Hurricane,No,No,Yes,Yes,October,2012,1,District of Columbia
MS,Tornado,No,No,Yes,Yes,December,2014,1,Mississippi
TX,Hurricane,Yes,No,Yes,No,June,2010,1,Texas
TX,Fire,No,No,No,Yes,July,2011,1,Texas
MT,Fire,No,No,Yes,Yes,July,2019,1,Montana
CA,Fire,No,No,No,Yes,October,2014,1,California
CA,Fire,No,No,No,Yes,September,2013,1,California
NM,Flood,No,No,Yes,Yes,October,2017,1,New Mexico
ID,Fire,No,No,No,Yes,August,2016,1,Idaho
NJ,Severe Storm,No,No,Yes,Yes,March,2010,1,New Jersey
WV,Severe Storm,No,No,Yes,Yes,August,2022,1,West Virginia
PA,Hurricane,No,No,Yes,Yes,August,2011,1,Pennsylvania
NC,Mud/Landslide,No,No,Yes,Yes,January,2013,1,North Carolina
NC,Hurricane,Yes,No,Yes,No,September,2018,1,North Carolina
NC,Hurricane,Yes,No,Yes,No,August,2011,1,North Carolina
GU,Typhoon,No,No,Yes,Yes,September,2018,1,Guam
NM,Fire,No,No,No,Yes,March,2011,1,New Mexico
AK,Severe Storm,No,No,Yes,Yes,September,2022,1,Alaska
WV,Severe Storm,Yes,No,Yes,No,March,2010,1,West Virginia
ME,Coastal Storm,No,No,Yes,Yes,March,2018,1,Maine
WI,Biological,Yes,No,Yes,No,January,2020,1,Wisconsin
WY,Fire,No,No,Yes,Yes,October,2015,1,Wyoming
AK,Flood,No,No,Yes,Yes,May,2018,1,Alaska
CO,Fire,No,No,No,Yes,April,2011,1,Colorado
SD,Fire,No,No,Yes,Yes,August,2018,1,South Dakota
AK,Flood,No,No,Yes,Yes,October,2013,1,Alaska
WA,Fire,No,No,No,Yes,July,2016,1,Washington
NE,Fire,No,No,No,Yes,April,2011,1,Nebraska
CO,Fire,No,No,No,Yes,March,2012,1,Colorado
UT,Earthquake,Yes,No,Yes,No,March,2020,1,Utah
WA,Flood,No,No,Yes,Yes,May,2018,1,Washington
WA,Mud/Landslide,No,No,No,Yes,March,2014,1,Washington
TX,Fire,No,No,Yes,Yes,May,2018,1,Texas
MI,Severe Storm,No,No,Yes,Yes,June,2021,1,Michigan
UT,Fire,No,No,No,Yes,August,2013,1,Utah
NV,Flood,No,No,Yes,Yes,September,2014,1,Nevada
AZ,Fire,No,No,Yes,Yes,July,2019,1,Arizona
WI,Snowstorm,No,No,No,Yes,January,2011,1,Wisconsin
MS,Severe Storm,No,No,Yes,Yes,April,2010,1,Mississippi
PA,Flood,Yes,No,No,No,September,2011,1,Pennsylvania
AZ,Severe Storm,No,No,Yes,Yes,October,2018,1,Arizona
NV,Fire,No,No,Yes,Yes,July,2019,1,Nevada
WY,Severe Storm,No,No,Yes,Yes,February,2017,1,Wyoming
ND,Flood,No,No,Yes,Yes,May,2013,1,North Dakota
HI,Volcanic Eruption,No,No,Yes,Yes,September,2014,1,Hawaii
GU,Typhoon,No,No,Yes,Yes,February,2019,1,Guam
CA,Fire,No,No,Yes,Yes,October,2021,1,California
